"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","lr","model","model_name","model_nr","num_classes","num_epochs","num_features","num_hidden_nodes","num_layers","weight_decay","epoch","train_acc","train_loss","val_acc","val_loss"
"earthy-river-66","finished","-","sbaumann","","2021-05-07T01:17:27.000Z","2654","","64","0.4","0.001","fares","","14","30","80","128","256","2","0.000005","79","0.9407764589515332","0.19096294565736127","0.5604026845637584","1.6282447291167257"
"olive-yogurt-65","finished","-","sbaumann","","2021-05-06T23:38:28.000Z","2995","","64","0.4","0.001","fares","","13","35","80","128","256","2","0.000005","79","0.947988536248806","0.16385576863183096","0.5268199233716475","1.875553648133844"
"golden-voice-59","failed","-","sbaumann","","2021-05-06T21:04:52.000Z","1877","","64","0.4","0.001","fares","","12","40","200","128","256","2","0.000005","70","0.8675365344467642","0.39709223578518765","0.4656616415410385","1.6585626520303824"
"sweet-snow-58","finished","-","sbaumann","","2021-05-06T18:25:00.000Z","2828","","16","0.5","0.01","common","","9","40","100","128","128","6","0.000005","99","0.02807933194154489","3.685913435551717","0.020100502512562814","3.718401222372774"
"chocolate-totem-57","failed","-","sbaumann","","2021-05-06T18:21:50.000Z","168","","16","0.5","0.01","common","","9","40","100","128","128","1","0.000005","36","0.9763048016701462","0.17939097914292568","0.1800670016750419","4.549509681848625"
"curious-dragon-56","finished","-","sbaumann","","2021-05-06T18:20:34.000Z","1850","","64","0.3","0.0001","fares","","10","40","75","128","256","2","0.000005","74","0.7417536534446765","0.7571169222073166","0.4355108877721943","1.5504508026480874"
"magic-terrain-55","finished","-","sbaumann","","2021-05-06T17:55:57.000Z","1343","","32","0.5","0.01","common","","8","40","100","128","300","2","0.000005","99","0.7447807933194155","0.7207958339400481","0.32914572864321606","2.111605972900263"
"dashing-water-53","failed","-","sbaumann","","2021-05-06T17:45:14.000Z","621","","32","0","0.01","common","","7","40","100","128","300","2","0.000005","56","0.9853862212943632","0.14120344482284497","0.3056951423785595","3.4353740055557074"
"sparkling-feather-52","finished","-","sbaumann","","2021-05-06T17:33:06.000Z","2579","","","0.3","0.0001","fares","","7","40","100","256","256","2","0.000005","99","0.6602296450939458","0.9434297694542711","0.4112227805695142","1.534084842632364"
"dashing-silence-47","finished","-","sbaumann","","2021-05-06T13:19:59.000Z","1983","","","0.5","0.002","fares","","8","40","80","124","256","2","0.000005","79","0.9207724425887266","0.23141174779306625","0.3601340033500838","3.976185028676811"
"avid-morning-46","failed","-","sbaumann","","2021-05-06T12:38:22.000Z","2336","","","0.5","0.002","fares","","7","40","800","124","256","2","0.000005","91","0.972964509394572","0.1074492321880476","0.4899497487437186","2.3258307986523037"
"volcanic-wildflower-35","failed","-","sbaumann","","2021-05-05T22:06:45.000Z","1269","","","0.3","0.001","fares","","6","40","200","60","68","2","0.000005","101","0.8290187891440501","0.5198667394592269","0.4882747068676717","1.4447327412951931"
"amber-sky-31","finished","-","sbaumann","","2021-05-05T21:14:48.000Z","774","","","0.3","0.01","fares","","3","40","99","","64","","0.000005","98","0.8755741127348643","0.33365420095606985","0.43383584589614743","2.41311460483813"
"legendary-waterfall-28","crashed","num_hidden_nodes = 12","sbaumann","","2021-05-05T20:46:12.000Z","1267","","","0.3","0.01","fares","","3","40","500","","","","0.000005","129","0.934446764091858","0.19027447016104776","0.42294807370184256","3.660634960161781"
"celestial-durian-27","finished","num_hidden_nodes = 128","sbaumann","","2021-05-05T17:18:55.000Z","1428","","","0.3","0.005","fares","","2","40","150","","","","0.000005","149","0.9590814196242172","0.1544025561817006","0.4388609715242881","2.5794449890877935"
"fanciful-dragon-16","finished","-","sbaumann","","2021-05-05T09:41:02.000Z","1182","","","0.3","0.01","fares","","1","40","150","","","","0.000005","149","0.6699373695198331","1.0535086303762702","0.48576214405360135","2.090338223743279"
"ethereal-monkey-14","crashed","num_hidden_nodes = 128","sbaumann","","2021-05-05T01:27:08.000Z","21900","","","0.3","0.001","fares","","1","40","2500","","","","0.000005","2162","0.645302713987474","1.220144155130008","0.49581239530988275","1.3948004561253329"